a52dec 0.7.4-9
libcddb 1.3.2-4
libcdio 0.93-4
libcdio-paranoia 10.2+0.93+1-2
libcdr 0.1.3-2
libcmis 0.5.1-4
libcroco 0.6.11-1
libcups 2.2.1-1
libcurl-compat 7.51.0-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdca 0.0.5-4
libdmx 1.1.3-1
libdrm 2.4.74-1
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-6
libebml 1.3.4-1
libedit 20160903_3.1-1
libelf 0.167-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libevdev 1.5.5-1
libevent 2.0.22-2
libexif 0.6.21-2
libexttextcat 3.4.4-1
libfbclient 2.5.6.27020-2
libffi 3.2.1-2
libfontenc 1.1.3-1
libgcrypt 1.7.3-1
libgdiplus 4.2-1
libgksu 2.0.12-7
libglade 2.6.4-5
libgnome-keyring 3.12.0-2
libgpg-error 1.25-1
libgssglue 0.4-2
libgtop 2.34.1-1
libgudev 230-1
libguess 1.2-1
libgusb 0.2.9-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libindicator-gtk2 12.10.1-7
libinput 1.5.2-1
libixion 0.11.1-3
libjpeg-turbo 1.5.1-1
libkate 0.4.1-5
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-2
libmad 0.15.1b-7
libmatroska 1.4.5-1
libmbim 1.14.0-2
libmm-glib 1.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-6
libmtp 1.1.12-1
libmwaw 0.3.9-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.19-1
libnfnetlink 1.0.1-2
libnftnl 1.0.6-1
libnl 3.2.28-1
libnm-glib 1.4.2-2
libnotify 0.7.7-1
libodfgen 0.1.6-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.11.2-3
libpagemaker 0.0.3-1
libpcap 1.8.1-2
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libphobos-devel 1:2.072.1-1
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.26-2
libproxy 0.4.13-1
libpulse 9.0-1
libqmi 1.16.2-1
libraw1394 2.1.2-1
libreoffice-still 5.1.6-3
libreoffice-still-ru 5.1.6-1
librevenge 0.0.4-1
librpcsecgss 0.19-8
librsvg 2:2.40.16-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libssh 0.7.3-1
libssh2 1.8.0-1
libsystemd 232-4
libtar 1.2.20-2
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.25-1
libtheora 1.1.1-3
libtiff 4.0.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-6
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.6-2
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.21-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-2
libuv 1.10.1-1
libva 1.7.3-1
libvdpau 1.1.1-2
libvisio 0.1.5-3
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libwacom 0.22-1
libwbclient 4.5.1-2
libwebp 0.5.1-1
libwnck 2.31.0-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.4-1
libx11 1.6.4-1
libx264 2:148.20160920-1
libx86emu 1.11-1
libxau 1.0.8-2
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.0-1
libxkbcommon-x11 0.7.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86misc 1.0.3-2
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-1
light-locker 1.6.0-3
lightdm 1:1.18.3-1
lightdm-gtk-greeter 1:2.0.2-1
lightdm-gtk-greeter-settings 1.2.1-4
linux-api-headers 4.7-1
linux-firmware 20161204.feddada-1
linux44 4.4.36-1
linux44-ndiswrapper 1.59-31
llvm-libs 3.9.0-3
logrotate 3.10.0-1
lpsolve 5.5.2.5-1
lsb-release 1.4-12
lsof 4.89-1
lua 5.3.3-2
lua52 5.2.4-2
lvm2 2.02.167-2
lz4 1:1.7.4.2-1
lzo 2.09-1
lzop 1.03-5
m4 1.4.17-2
maia-wallpaper 0.7.0-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
manjaro-alsa 2012.11-1
manjaro-artwork 1.0.8-3
manjaro-backgrounds 20161204-1
manjaro-base-skel 20160926-1
manjaro-features 16.10-1
manjaro-firmware 20160419-1
manjaro-hotfixes 2015.12-2
manjaro-icons 20161203-1
manjaro-keyring 20160527-1
manjaro-pulse 2012.11-1
manjaro-release-dev 17.0-1
manjaro-settings-manager 0.4.99-1
manjaro-settings-manager-notifier 0.4.99-1
manjaro-system 20161101-2
manjaro-welcome 20161130-1
manjaro-xfce-minimal-settings 20160826-1
mdadm 3.4-1
megasync-qt5 2.9.8-1
memtest86+ 5.01-2
menulibre 1:2.1.0-1
mesa 13.0.2-2
mesa-demos 8.3.0-2
